Lev.YearMonth;HÑmtstÑlle;HÑmtstÑlle Gatuadress;HÑmtstÑlle Ort;HÑmtstÑlle MÑrkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3803 Litiumjonbatterier;R4;R4 Recycled, incl metal scrap;160121;JA;67
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;18009 Kyl/Frys ej PA stîrre;R4;R4 Recycled, incl metal scrap;160211;JA;190
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;18019 Kontorselektronik;R4;R4 Recycled, incl metal scrap;160213;JA;1 945
202301;05314943    Volvo Personvagnar AB (Gîteborg);UtrustningsvÑgen;Gîteborg;Project - TUN Etapp 2;1899 Blandskrot;R4;R4 Recycled, incl metal scrap;170405;NEJ;4 650
202301;0468793      Volvo Personvagnar AB (Gîteborg);VAK / Gunnar Engellaus vÑg 8;Gîteborg;The Melting Pot och The Bikery;3285 FTI Metallfîrp, FNI;R4;R4 Recycled, incl metal scrap;200140;NEJ;55
202301;0178863      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg;Gîteborg;PVH, kundnr: 0178863;3285 FTI Metallfîrp, FNI;R4;R4 Recycled, incl metal scrap;200140;NEJ;5
202301;04423562    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg;Gîteborg;PVô belysningsbyte;1919 Sort. elavf. fîr fragm.;R4;R4 Recycled, incl metal scrap;191212;NEJ;840
202301;0468785      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg 3;Gîteborg;Rest. Hîjden, kundnr: 0468785;3285 FTI Metallfîrp, FNI;R4;R4 Recycled, incl metal scrap;200140;NEJ;25
202301;04363347    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg/PVD Norra;Gîteborg;Rest. The Harvest (Volvo PVD);3285 FTI Metallfîrp, FNI;R4;R4 Recycled, incl metal scrap;200140;NEJ;40
202301;03764123    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons VÑg;Gîteborg;Chang i Polestar-huset;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;03764123    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons VÑg;Gîteborg;Chang i Polestar-huset;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;300
202301;0468801      Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons vÑg 5;Gîteborg;Rest. Jacob, kundnr: 0468801;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;25
202301;05456355    Volvo Personvagnar AB (Gîteborg);DesignvÑgen;Gîteborg;PV Miljî 1;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;05456355    Volvo Personvagnar AB (Gîteborg);DesignvÑgen;Gîteborg;PV Miljî 1;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;0185512      Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus;Gîteborg;Rest. Emma, kundnr: 0185512;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;15
202301;05318936    Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus vÑg;Gîteborg;PVV Office Waste;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;05318936    Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus vÑg;Gîteborg;PVV Office Waste;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;05119540    Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus vÑg;Gîteborg;VAK Godsmottagning;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;05119540    Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus vÑg;Gîteborg;VAK Godsmottagning;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;0468777      Volvo Personvagnar AB (Gîteborg);Gustaf Larssons vÑg;Gîteborg;Rest. Hive Food Market kundnr: 0468777;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;40
202301;0468777      Volvo Personvagnar AB (Gîteborg);Gustaf Larssons vÑg;Gîteborg;Rest. Hive Food Market kundnr: 0468777;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;40
202301;05122775    Volvo Personvagnar AB (Gîteborg);Gustaf Larssons VÑg;Gîteborg;SAAN;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;05122775    Volvo Personvagnar AB (Gîteborg);Gustaf Larssons VÑg;Gîteborg;SAAN;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;5
202301;05279690    Volvo Personvagnar AB (Gîteborg);John Bunyans VÑg;Gîteborg;PVôL Office Waste;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;05279690    Volvo Personvagnar AB (Gîteborg);John Bunyans VÑg;Gîteborg;PVôL Office Waste;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;03408291    Volvo Personvagnar AB (Gîteborg);Miljîstation 1-2;Gîteborg;Volvo RA, TIR;3906 Verksamhetsavfall fîr sortering;R11;R11 Recycled, incl metal scrap;200301;NEJ;2 900
202301;0283051      Volvo Personvagnar AB (Gîteborg);N/A;Gîteborg;Byggnad PVô, kundnr: 0283051;3217 Vatten fîrorenat;R5;R5 Recycled, incl metal scrap;120301;JA;62 600
202301;0283135      Volvo Personvagnar AB (Gîteborg);Norra gatan;Gîteborg;PVTR BrÑnsle;3217 Vatten fîrorenat;R5;R5 Recycled, incl metal scrap;120301;JA;12 280
202301;05250022    Volvo Personvagnar AB (Gîteborg);Parkering PVBL;Gîteborg;Batlab Steg 3;3692 Gips;R5;R5 Recycled, incl metal scrap;170802;NEJ;700
202301;04133906    Volvo Personvagnar AB (Gîteborg);PVèV GÜrden, Rîra ByvÑg;Gîteborg;PVèV Office Waste;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;04133906    Volvo Personvagnar AB (Gîteborg);PVèV GÜrden, Rîra ByvÑg;Gîteborg;PVèV Office Waste;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;05190673    Volvo Personvagnar AB (Gîteborg);Rîra ByvÑg;Gîteborg;CWT2;3692 Gips;R5;R5 Recycled, incl metal scrap;170802;NEJ;700
202301;0469601      Volvo Personvagnar AB (Gîteborg);TLE;Gîteborg;TLE, kundnr: 0469601;4000 Vatten fîrorenat, fîr pH justering;R5;R5 Recycled, incl metal scrap;120301;JA;480
202301;04836896    Volvo Personvagnar AB (Gîteborg);Torslanda;Gîteborg;Skurvattenrundan;3217 Vatten fîrorenat;R5;R5 Recycled, incl metal scrap;120301;JA;6 340
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;20
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;15
202301;0468793      Volvo Personvagnar AB (Gîteborg);VAK / Gunnar Engellaus vÑg 8;Gîteborg;The Melting Pot och The Bikery;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;25
202301;0468793      Volvo Personvagnar AB (Gîteborg);VAK / Gunnar Engellaus vÑg 8;Gîteborg;The Melting Pot och The Bikery;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;25
202301;0178863      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg;Gîteborg;PVH, kundnr: 0178863;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;35
202301;0178863      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg;Gîteborg;PVH, kundnr: 0178863;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;05017280    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg;Gîteborg;PVôS Hîrnet;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;05017280    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg;Gîteborg;PVôS Hîrnet;3293 FTI Glas fÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;10
202301;0468785      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg 3;Gîteborg;Rest. Hîjden, kundnr: 0468785;3292 FTI Glas ofÑrgat fîrp. FNI;R5;R5 Recycled, incl metal scrap;150107;NEJ;35
